Wake-up Time (Hour),Exercise,Meditation,Breakfast,Screen Time Before Work (min),Productivity Score
6.12,No,No,No,58.6,6.5
7.92,Yes,No,No,53.5,7.0
6.63,Yes,Yes,No,54.2,8.8
5.6,Yes,Yes,Yes,9.9,10.0
9.25,Yes,No,No,18.1,6.6
6.6,No,No,Yes,76.6,6.3
5.87,Yes,No,No,118.1,7.1
5.65,No,No,No,25.6,7.0
7.76,Yes,Yes,No,44.2,8.5
5.43,Yes,No,No,104.2,7.5
8.72,Yes,No,Yes,91.3,4.8
4.66,Yes,Yes,Yes,110.5,8.6
5.09,Yes,Yes,No,15.0,9.7
6.96,Yes,Yes,Yes,7.7,10.0
6.05,Yes,Yes,Yes,54.6,8.6
6.9,Yes,Yes,No,72.0,8.6
8.4,Yes,No,Yes,4.8,7.7
5.71,Yes,Yes,Yes,118.4,8.2
8.01,Yes,No,Yes,67.2,6.4
7.09,No,No,No,10.5,6.1
4.67,Yes,Yes,No,9.4,9.9
7.95,Yes,Yes,Yes,96.1,6.6
7.68,Yes,Yes,Yes,84.8,7.0
7.21,Yes,No,Yes,85.1,6.9
8.51,No,Yes,Yes,40.7,5.7
8.97,No,No,Yes,65.7,4.7
6.76,Yes,Yes,No,77.2,7.8
4.8,No,Yes,No,29.7,8.6
5.6,No,Yes,No,117.1,6.2
8.45,No,Yes,No,79.0,5.9
8.1,No,Yes,No,27.4,7.6
7.75,Yes,No,Yes,23.9,7.4
4.65,Yes,No,Yes,30.9,9.5
8.14,Yes,No,No,89.1,5.7
6.36,No,Yes,No,118.5,6.2
7.39,Yes,No,No,52.6,6.8
8.87,Yes,Yes,Yes,108.1,5.8
9.06,Yes,No,Yes,25.3,6.7
8.17,Yes,Yes,Yes,15.8,8.9
5.69,Yes,Yes,Yes,116.6,8.3
5.74,Yes,Yes,No,104.5,7.9
7.46,No,No,No,19.6,6.0
9.35,No,No,Yes,31.0,5.3
6.13,No,No,No,92.8,5.2
9.35,Yes,Yes,Yes,54.5,6.3
7.1,No,No,No,40.4,6.0
6.65,No,Yes,No,29.8,8.1
5.34,Yes,Yes,No,20.1,9.9
6.87,No,Yes,Yes,101.3,7.1
8.84,No,No,No,24.7,4.4
5.85,No,Yes,Yes,6.9,9.8
4.7,No,Yes,No,14.7,9.1
6.08,No,Yes,Yes,60.9,7.2
9.43,No,No,No,115.8,2.4
9.26,Yes,Yes,No,76.7,6.1
6.94,Yes,Yes,No,80.0,7.5
8.02,No,Yes,Yes,24.2,8.0
4.97,Yes,No,No,80.7,7.9
5.39,No,Yes,No,83.1,7.8
7.92,No,No,No,59.7,5.4
8.84,Yes,Yes,No,68.5,6.3
7.88,Yes,Yes,Yes,25.9,8.9
5.03,Yes,Yes,Yes,78.9,9.7
6.53,Yes,No,No,104.5,6.8
8.19,Yes,No,No,105.4,5.3
7.84,Yes,Yes,Yes,96.9,7.4
8.59,Yes,No,No,14.4,5.8
6.12,No,Yes,No,44.0,7.7
6.44,Yes,Yes,No,53.8,8.2
4.87,No,No,No,72.4,6.7
7.6,Yes,Yes,No,55.6,7.7
6.9,No,No,Yes,3.1,7.8
6.4,Yes,No,No,47.9,7.8
7.54,No,No,Yes,91.8,5.4
8.09,No,No,Yes,114.7,4.1
5.48,Yes,No,Yes,0.9,10.0
5.72,Yes,No,No,111.2,7.1
6.26,Yes,Yes,No,12.2,9.2
6.04,No,Yes,Yes,96.4,6.8
7.55,No,Yes,Yes,85.9,6.0
5.11,Yes,No,No,21.7,8.6
7.13,Yes,No,Yes,85.1,6.3
5.78,Yes,Yes,No,115.6,8.0
4.72,Yes,Yes,Yes,76.0,9.8
8.92,No,Yes,Yes,27.4,6.2
6.56,Yes,Yes,Yes,100.8,8.0
8.4,Yes,Yes,No,33.0,8.4
4.98,No,Yes,No,74.9,7.5
5.34,Yes,No,Yes,88.4,7.8
4.98,No,Yes,Yes,2.8,9.6
7.23,Yes,Yes,Yes,27.8,8.7
9.44,Yes,No,Yes,16.4,6.7
6.64,No,Yes,Yes,86.1,7.8
5.14,Yes,No,Yes,12.5,9.7
5.87,Yes,Yes,No,9.5,9.7
6.12,Yes,Yes,No,27.2,9.0
4.84,No,Yes,Yes,96.0,7.4
8.9,Yes,No,Yes,78.1,5.3
6.17,No,Yes,No,80.3,7.2
7.29,No,No,Yes,87.7,5.1
4.8,No,No,No,67.5,7.1
5.38,No,No,Yes,82.8,6.5
7.18,Yes,Yes,No,11.6,8.4
7.82,No,No,No,95.5,4.9
5.67,Yes,No,No,47.9,8.6
9.14,No,No,No,64.8,4.3
7.1,No,No,No,74.8,4.5
8.28,Yes,No,Yes,15.3,8.4
8.04,No,No,No,4.3,6.2
5.82,Yes,Yes,Yes,43.2,9.9
6.03,Yes,No,No,47.6,7.8
7.08,No,Yes,No,110.3,5.7
8.76,No,No,Yes,25.0,5.7
5.08,Yes,No,No,98.1,7.5
8.84,No,No,Yes,96.7,4.1
6.02,No,No,No,9.7,7.2
5.37,Yes,Yes,No,83.4,8.8
8.61,Yes,Yes,Yes,15.9,8.1
7.53,No,No,No,91.8,4.3
7.01,Yes,No,Yes,47.8,6.9
4.84,Yes,Yes,No,3.1,10.0
9.33,No,No,No,51.9,4.0
7.03,No,No,Yes,52.7,5.5
7.7,Yes,Yes,Yes,25.9,8.5
4.81,No,No,No,93.7,6.0
4.79,Yes,No,No,119.4,6.7
9.42,Yes,No,No,28.7,5.4
6.02,No,No,No,12.1,7.4
4.81,No,No,No,61.1,7.2
8.57,Yes,Yes,No,73.8,6.0
6.63,Yes,Yes,Yes,15.7,9.8
6.34,No,Yes,Yes,49.7,8.3
8.35,No,Yes,Yes,1.3,7.9
4.6,Yes,No,Yes,31.2,8.9
7.18,No,No,No,25.8,5.5
5.71,No,No,Yes,117.1,6.4
9.3,Yes,Yes,Yes,58.5,6.6
8.72,Yes,No,Yes,11.8,6.4
6.12,Yes,Yes,No,88.5,7.7
6.8,No,No,No,94.2,5.9
9.28,Yes,No,Yes,94.4,5.2
6.69,Yes,No,Yes,30.6,8.3
9.01,No,No,Yes,55.4,4.8
7.8,No,No,No,107.4,4.4
7.57,No,No,Yes,8.0,6.9
5.25,No,Yes,Yes,88.5,7.8
4.71,No,No,Yes,10.2,8.5
4.86,No,Yes,No,8.6,9.1
8.19,Yes,Yes,No,42.4,8.0
7.81,Yes,No,Yes,22.2,7.2
7.8,No,Yes,No,91.7,5.0
4.91,Yes,Yes,No,116.1,8.0
6.41,No,Yes,Yes,24.7,8.4
8.37,No,Yes,Yes,77.3,5.9
9.34,Yes,Yes,Yes,95.8,6.2
7.41,Yes,Yes,No,89.8,6.7
6.19,No,Yes,No,111.4,5.9
6.66,Yes,No,No,52.7,8.2
5.7,Yes,Yes,No,14.6,10.0
5.93,No,No,No,97.9,6.3
8.73,No,Yes,Yes,110.3,4.7
6.8,No,No,Yes,101.0,6.1
8.38,No,No,No,78.7,4.5
7.23,Yes,No,Yes,118.2,5.5
5.32,No,No,Yes,15.8,8.4
8.59,No,No,No,25.6,4.8
8.7,Yes,Yes,No,87.9,5.8
5.99,Yes,No,Yes,67.8,8.8
7.68,Yes,No,Yes,91.3,6.1
4.55,Yes,No,No,29.6,9.2
5.0,No,No,No,48.2,7.3
5.52,No,No,No,66.6,6.8
7.58,Yes,No,Yes,22.6,8.0
7.27,No,Yes,Yes,0.6,7.6
8.23,Yes,Yes,No,24.3,8.2
5.24,No,No,Yes,36.7,8.1
9.48,Yes,No,No,44.2,5.8
8.93,No,No,No,71.2,3.7
6.56,Yes,No,No,83.5,6.9
6.28,No,No,No,95.3,5.1
7.44,No,Yes,Yes,57.7,6.4
7.4,Yes,No,Yes,67.4,7.0
7.88,No,Yes,Yes,96.6,6.2
6.99,Yes,No,Yes,9.2,8.7
8.42,Yes,No,Yes,84.9,6.6
6.7,Yes,No,Yes,17.7,8.7
4.94,Yes,Yes,No,26.5,10.0
9.17,No,No,Yes,77.1,4.1
7.68,Yes,No,Yes,94.3,6.0
8.7,No,No,No,46.1,4.4
7.44,No,Yes,Yes,22.1,7.3
4.63,No,Yes,No,2.9,8.8
7.09,No,Yes,No,35.8,6.7
6.65,No,Yes,No,104.7,6.1
8.51,Yes,No,No,55.0,5.0
4.9,Yes,Yes,No,87.4,8.6
8.33,No,No,Yes,19.1,6.7
5.18,No,Yes,Yes,90.2,8.1
4.84,No,Yes,No,6.8,8.5
5.73,Yes,Yes,Yes,108.8,8.5
6.75,No,No,Yes,93.2,5.6
6.94,Yes,No,Yes,4.0,9.4
5.2,No,Yes,No,63.9,7.5
9.0,No,Yes,Yes,2.6,7.3
7.3,No,Yes,No,112.4,4.9
5.8,Yes,No,Yes,87.7,7.9
7.77,No,No,No,23.8,6.1
6.82,Yes,Yes,No,116.6,6.9
5.26,No,No,No,27.0,7.2
8.75,Yes,Yes,Yes,67.3,6.9
8.11,Yes,Yes,No,8.1,8.3
6.79,Yes,No,No,58.2,7.8
8.75,No,Yes,No,80.3,4.5
7.75,No,No,Yes,65.5,5.2
7.06,No,No,No,96.8,4.4
4.76,No,Yes,No,94.4,6.7
5.32,No,No,Yes,39.6,7.9
7.1,No,No,No,24.6,6.4
8.9,No,No,No,104.5,2.9
6.76,No,No,No,118.2,5.3
4.64,No,No,Yes,7.8,8.3
9.05,No,Yes,No,64.6,4.6
7.78,No,Yes,No,98.7,5.7
9.32,No,Yes,Yes,24.5,6.1
8.46,Yes,Yes,Yes,69.3,7.9
9.08,Yes,Yes,Yes,64.0,6.9
6.08,Yes,Yes,No,102.9,8.2
5.2,No,No,Yes,24.2,7.7
8.97,No,Yes,Yes,78.5,5.0
7.58,No,No,Yes,10.0,7.2
8.52,Yes,No,No,60.6,5.4
9.42,Yes,Yes,No,80.2,6.2
6.64,Yes,No,No,19.5,8.2
7.14,Yes,No,No,86.3,5.7
8.16,No,Yes,Yes,22.5,8.0
7.2,Yes,No,Yes,85.2,6.4
8.61,No,Yes,No,55.1,5.1
8.64,No,Yes,No,40.2,5.5
8.63,No,No,Yes,12.1,5.3
5.21,No,Yes,Yes,41.8,8.9
7.76,No,Yes,Yes,74.5,6.7
6.86,No,Yes,No,117.5,5.7
7.88,No,No,Yes,39.0,6.4
4.85,Yes,Yes,No,21.0,10.0
5.9,Yes,No,No,77.1,7.8
6.03,Yes,No,Yes,25.5,8.3
7.77,No,No,Yes,112.6,5.0
8.33,No,Yes,Yes,94.6,5.9
9.04,Yes,No,Yes,80.5,5.0
6.74,No,Yes,Yes,55.2,8.0
6.4,Yes,Yes,Yes,117.2,7.1
8.2,No,No,Yes,110.2,4.5
8.79,Yes,No,No,35.1,6.3
8.52,No,Yes,No,2.2,6.7
6.02,No,Yes,Yes,99.5,7.2
5.06,No,No,Yes,84.4,6.8
4.98,Yes,No,No,29.0,8.4
6.01,Yes,No,No,71.8,7.0
8.22,Yes,No,Yes,5.8,8.7
7.84,No,Yes,No,71.2,5.9
4.89,No,Yes,Yes,28.7,8.6
7.41,Yes,Yes,No,119.5,6.0
8.66,Yes,No,No,71.9,4.5
9.05,Yes,Yes,No,80.3,6.3
7.09,No,Yes,Yes,51.7,6.8
8.37,No,No,Yes,72.2,5.9
6.72,No,Yes,No,72.9,7.1
8.01,No,Yes,Yes,28.5,7.0
6.42,Yes,Yes,No,58.5,8.9
8.22,No,No,Yes,60.8,5.9
4.85,Yes,No,Yes,30.5,9.0
4.73,No,Yes,Yes,16.8,9.5
6.16,Yes,No,Yes,57.8,8.0
5.9,Yes,Yes,Yes,24.8,9.6
5.6,Yes,Yes,No,4.4,10.0
7.36,No,Yes,No,61.5,6.6
6.49,No,No,No,10.5,7.4
5.07,Yes,No,No,41.4,8.8
6.97,No,Yes,Yes,84.3,7.1
5.87,Yes,No,Yes,47.3,8.6
9.04,No,Yes,Yes,85.7,4.9
8.62,No,Yes,No,114.6,3.5
7.68,Yes,No,Yes,6.1,7.6
7.52,Yes,No,No,82.4,5.7
6.78,Yes,No,No,44.3,7.6
8.26,Yes,No,Yes,8.5,7.7
9.21,No,No,No,80.2,3.8
6.31,Yes,No,Yes,71.2,7.7
9.07,No,Yes,Yes,73.5,5.6
5.1,No,Yes,No,108.3,6.6
5.21,No,No,No,1.4,7.9
5.98,No,Yes,Yes,58.3,7.9
5.12,No,No,No,67.0,6.4
8.15,No,Yes,No,78.3,6.2
6.65,No,Yes,Yes,80.8,7.0
8.44,Yes,Yes,Yes,53.6,8.8
9.08,Yes,Yes,No,51.7,6.3
7.51,No,No,Yes,84.7,5.4
6.37,Yes,Yes,No,20.0,9.5
6.23,No,Yes,No,18.5,8.1
7.68,Yes,Yes,Yes,40.9,8.0
7.89,Yes,Yes,Yes,72.7,8.0
6.77,Yes,No,No,82.6,6.8
4.64,No,No,No,60.7,7.2
6.42,No,No,No,4.7,6.9
6.44,No,Yes,Yes,19.2,8.7
6.79,Yes,Yes,Yes,34.7,10.0
6.07,No,No,No,106.6,5.4
8.63,Yes,No,Yes,118.1,4.9
6.45,Yes,Yes,No,46.3,8.4
7.27,No,No,Yes,65.0,5.9
8.67,No,No,Yes,52.9,4.5
5.8,Yes,No,Yes,23.4,8.9
5.85,Yes,No,Yes,116.0,7.2
7.4,No,No,Yes,16.7,6.6
7.63,Yes,No,Yes,58.7,7.5
8.9,No,Yes,Yes,74.8,5.4
5.51,No,Yes,Yes,47.4,8.3
7.22,No,No,Yes,27.3,6.9
9.05,Yes,No,Yes,86.7,5.6
5.15,No,No,No,94.9,5.6
8.47,No,No,No,33.1,6.2
9.22,Yes,Yes,No,17.9,7.3
8.82,No,Yes,Yes,70.6,5.1
5.52,Yes,No,No,91.4,7.3
6.96,Yes,No,No,69.3,8.0
6.54,Yes,Yes,Yes,99.3,8.8
5.5,Yes,Yes,No,13.1,10.0
8.97,No,Yes,No,7.5,6.2
7.05,Yes,Yes,No,75.2,7.2
7.94,Yes,No,No,86.7,5.7
6.0,Yes,No,Yes,43.0,8.8
5.55,No,No,No,114.9,5.1
9.49,Yes,Yes,Yes,81.2,6.0
8.19,No,No,No,100.1,4.7
5.21,Yes,Yes,No,90.4,8.8
8.73,No,Yes,Yes,73.6,5.1
4.89,Yes,Yes,No,48.9,8.9
5.05,Yes,Yes,No,97.0,8.7
7.11,Yes,Yes,No,35.9,8.1
8.04,Yes,No,Yes,6.0,7.8
5.98,No,No,Yes,27.9,7.7
8.52,Yes,No,Yes,111.5,5.1
6.11,No,Yes,Yes,57.2,7.8
9.39,Yes,No,Yes,72.4,5.6
5.11,Yes,No,Yes,106.6,7.5
7.43,Yes,No,Yes,75.0,6.7
5.71,No,Yes,Yes,85.7,8.1
7.26,Yes,No,No,62.4,6.5
5.86,No,No,No,59.6,6.5
5.17,No,No,Yes,75.5,6.5
8.24,Yes,No,No,38.1,6.7
4.73,Yes,Yes,Yes,33.1,10.0
4.52,Yes,No,Yes,29.6,9.1
5.01,Yes,No,No,43.2,8.6
6.07,No,Yes,No,94.7,6.6
9.05,No,Yes,Yes,45.3,5.6
7.94,No,No,No,59.3,5.2
7.66,Yes,No,No,84.5,5.4
8.07,Yes,Yes,Yes,80.0,8.4
8.01,No,Yes,No,35.8,6.9
7.72,Yes,Yes,No,5.8,8.7
6.66,No,No,No,54.9,6.1
6.34,Yes,Yes,Yes,44.4,9.1
8.61,No,Yes,No,102.0,4.2
